36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,40.73271,-74.00367,Entire home/apt,200,45,143,2023-02-25,0.93,1,186,5,
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,40.71371,-73.96203,Entire home/apt,150,6,29,2023-02-11,0.19,1,33,2,
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Entire home/apt,900,3,42,2022-12-30,0.32,1,212,12,
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,40.81317,-73.95465,Private room,55,30,98,2020-03-14,0.92,1,190,0,
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,90,30,82,2022-09-22,0.52,5,241,3,
71248,Bright and lovely 1-bdrm LES apt w/ balcony,363834,Jennifer,Manhattan,Chinatown,40.7159,-73.99156,Entire home/apt,107,15,60,2023-01-28,0.41,1,26,4,
71366,Beautiful One Bed West Village - Monthy Special,364955,Ruperto,Manhattan,Greenwich Village,40.72997,-74.00196,Entire home/apt,200,30,45,2023-02-11,0.34,1,202,2,
38833,Spectacular West Harlem Garden Apt,166532,Matthew,Manhattan,Harlem,40.81801,-73.94669,Entire home/apt,99,7,156,2023-02-22,1.02,1,74,2,
39282,“Work-from-home” from OUR home.,168525,Gus,Brooklyn,Williamsburg,40.71065,-73.950874,Private room,150,4,251,2022-12-12,1.64,2,14,14,
71384,Gigantic Private Brooklyn Loft!,365153,Ben,Brooklyn,Greenpoint,40.72919,-73.95588,Entire home/apt,229,1,50,2014-05-13,0.34,1,0,0,
71812,Condo Apartment with Laundry and Assigned Parking,369015,Thai,Bronx,Kingsbridge,40.87069,-73.90113,Entire home/apt,90,30,15,2022-07-22,0.27,2,362,2,
10962,"Lovely Room 2 in BEST AREA; Legal Rental, Spotless",9744,Laurie,Brooklyn,South Slope,40.66692,-73.98981,Private room,124,4,222,2023-02-13,1.36,3,163,21,
11174,HUGE Artist Loft! Comfy! Light! Plants!,2556219,Erica,Brooklyn,Bushwick,40.70458,-73.91835,Entire home/apt,98,2,81,2023-02-17,0.5,1,4,7,
39572,1 br in a 2 br apt (Midtown West),169927,Hubert,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,139,30,44,2019-01-03,0.29,2,187,0,
11943,Country space in the city,45445,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,30,0,,,1,0,0,
39593,"A Lovely, Private place from July 13/2023 on",110506,Myung,Queens,Sunnyside,40.74523,-73.92318,Private room,78,30,30,2023-01-03,0.2,1,144,1,
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,60,7,291,2022-12-23,1.79,2,43,24,
72190,1BR: See Central Park from Terrace!,373085,Hudson,Manhattan,Upper West Side,40.77743,-73.97691,Entire home/apt,110,30,37,2019-02-15,0.26,1,0,0,
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68216,-73.94594,Entire home/apt,135,30,337,2019-12-12,2.21,2,0,0,
72265,"Private, Cozy 1-BR Railroad Flat in Greenpoint",340692,Vanessa,Brooklyn,Greenpoint,40.72744,-73.953,Private room,85,10,36,2022-09-05,0.29,1,0,1,
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,164,3,355,2023-02-02,2.29,1,94,40,
42300,Beautiful Lower East Side Loft,184755,Koray,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,750,5,73,2022-11-28,0.48,1,114,8,
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,125,30,74,2022-11-30,0.46,1,156,2,
74333,Alcove Studio w/ outdoor Patio Deck,331328,Amir,Manhattan,East Harlem,40.80834,-73.94075,Entire home/apt,80,30,40,2022-11-23,0.29,2,310,4,
42729,House On Henry (Carroll Gardens Living) Ste 2,11481,Annette,Brooklyn,Carroll Gardens,40.67813,-74.00062,Entire home/apt,202,4,200,2023-01-04,1.32,3,331,22,
74438,Luxury HiRise XL 1BR Skyline views,391553,James,Manhattan,Hell's Kitchen,40.75523,-73.99792,Entire home/apt,299,30,52,2014-11-18,0.36,1,365,0,
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,40.64633,-74.08156,Private room,70,5,183,2023-01-01,1.27,1,237,7,
74680,One Bedroom Mini studio - Free WIFI,265109,Nazleen,Queens,Astoria,40.77507,-73.93367,Entire home/apt,115,7,253,2023-02-13,1.77,1,243,21,
74821,Deluxe Harlem 2 Bedroom,394640,Keith,Manhattan,Harlem,40.80874,-73.94926,Entire home/apt,149,30,47,2019-01-03,0.33,1,90,0,
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,Private room,94,1,187,2023-01-05,1.2,4,204,31,
14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,129,30,179,2020-08-16,1.11,1,278,0,
